kill date,kill year,kill month,NZDI,Animal Type,Transport distance (calculated),Processing location,lairage time (calculated),Presentation Grade,Grade,live weight,carcass weight,Teeth,Total number of defects,Yield,Animal Type_num,Grade_num,Presentation Grade_num,Age,Waste,price/kg,price
2021-08-09,2021,8,0.14,heifer,172.0,A,23.0,A,P2,410.2,216.0,1.0,0,52.7,1,4,0,17.9375,194.2,5.6,1209.6
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,633.9,354.0,2.0,0,55.8,2,4,0,24.0,279.9,5.9,2088.6
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,600.8,339.5,2.0,1,56.5,2,4,0,24.0,261.29999999999995,5.9,2003.0500000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,603.9,342.0,2.0,0,56.6,2,4,0,24.0,261.9,5.9,2017.8000000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,605.9,341.5,2.0,0,56.4,2,4,0,24.0,264.4,5.9,2014.8500000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,647.2,365.0,2.0,0,56.4,2,4,0,24.0,282.20000000000005,5.9,2153.5
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,640.5,358.5,2.0,0,56.0,2,4,0,24.0,282.0,5.9,2115.15
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,639.2,356.5,2.0,1,55.8,2,4,0,24.0,282.70000000000005,5.9,2103.35
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,602.5,343.5,2.0,0,57.0,2,4,0,24.0,259.0,5.9,2026.65
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,608.6,340.5,2.0,0,55.9,2,4,0,24.0,268.1,5.9,2008.95
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,632.7,356.0,2.0,0,56.3,2,4,0,24.0,276.70000000000005,5.9,2100.4
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,675.4,371.5,2.0,0,55.0,2,4,0,24.0,303.9,5.9,2191.85
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,590.5,320.0,2.0,0,54.2,2,4,0,24.0,270.5,5.9,1888.0
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,571.4,314.0,2.0,0,55.0,2,4,0,24.0,257.4,5.9,1852.6000000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,569.4,303.0,2.0,0,53.2,2,4,0,24.0,266.4,5.9,1787.7
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,628.3,355.5,2.0,0,56.6,2,4,0,24.0,272.79999999999995,5.9,2097.4500000000003
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,599.1,329.0,2.0,0,54.9,2,4,0,24.0,270.1,5.9,1941.1000000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,600.1,330.0,2.0,0,55.0,2,4,0,24.0,270.1,5.9,1947.0000000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,599.5,334.0,2.0,1,55.7,2,4,0,24.0,265.5,5.9,1970.6000000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,550.4,306.5,2.0,0,55.7,2,4,0,24.0,243.89999999999998,5.9,1808.3500000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,645.3,350.0,2.0,1,54.2,2,4,0,24.0,295.29999999999995,5.9,2065.0
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,626.2,348.5,2.0,0,55.7,2,4,0,24.0,277.70000000000005,5.9,2056.15
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,659.7,355.5,2.0,1,53.9,2,4,0,24.0,304.20000000000005,5.9,2097.4500000000003
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,655.5,357.0,2.0,0,54.5,2,4,0,24.0,298.5,5.9,2106.3
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,582.9,331.0,2.0,0,56.8,2,4,0,24.0,251.89999999999998,5.9,1952.9
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,631.6,351.5,2.0,0,55.7,2,4,0,24.0,280.1,5.9,2073.85
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,641.8,358.0,2.0,0,55.8,2,4,0,24.0,283.79999999999995,5.9,2112.2000000000003
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,603.6,347.0,2.0,0,57.5,2,4,0,24.0,256.6,5.9,2047.3000000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,604.7,331.5,2.0,0,54.8,2,4,0,24.0,273.20000000000005,5.9,1955.8500000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,621.0,344.5,2.0,0,55.5,2,4,0,24.0,276.5,5.9,2032.5500000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,656.3,357.5,2.0,1,54.5,2,4,0,24.0,298.79999999999995,5.9,2109.25
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,593.3,346.5,2.0,0,58.4,2,4,0,24.0,246.79999999999995,5.9,2044.3500000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,602.5,336.0,2.0,0,55.8,2,4,0,24.0,266.5,5.9,1982.4
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,593.0,331.0,2.0,0,55.8,2,4,0,24.0,262.0,5.9,1952.9
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,575.6,324.0,2.0,0,56.3,2,4,0,24.0,251.60000000000002,5.9,1911.6000000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,618.9,339.5,2.0,0,54.9,2,4,0,24.0,279.4,5.9,2003.0500000000002
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,619.4,351.0,2.0,0,56.7,2,4,0,24.0,268.4,5.9,2070.9
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,603.9,328.0,2.0,0,54.3,2,4,0,24.0,275.9,5.9,1935.2
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,662.1,355.0,2.0,0,53.6,2,4,0,24.0,307.1,5.9,2094.5
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,601.6,341.5,2.0,0,56.8,2,4,0,24.0,260.1,5.9,2014.8500000000001
2021-11-30,2021,11,0.29,steer,175.0,C,23.25,A,P2,641.8,354.0,2.0,1,55.2,2,4,0,24.0,287.79999999999995,5.9,2088.6
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,641.0,343.5,4.0,0,53.6,2,4,0,30.0,297.5,5.9,2026.65
2021-12-16,2021,12,0.29,steer,175.0,C,22.25,A,P2,558.9,314.5,2.0,0,56.3,2,4,0,24.0,244.39999999999998,5.9,1855.5500000000002
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,721.6,389.0,4.0,0,53.9,2,4,0,30.0,332.6,5.9,2295.1000000000004
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,633.5,339.0,4.0,0,53.5,2,4,0,30.0,294.5,5.9,2000.1000000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,630.0,330.0,2.0,0,52.4,2,4,0,24.0,300.0,5.9,1947.0000000000002
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,559.3,315.0,2.0,0,56.3,2,4,0,24.0,244.29999999999995,5.9,1858.5
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,590.6,301.0,2.0,0,51.0,2,4,0,24.0,289.6,5.9,1775.9
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,568.2,314.0,2.0,0,55.3,2,4,0,24.0,254.20000000000005,5.9,1852.6000000000001
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,647.5,350.5,2.0,0,54.1,2,4,0,24.0,297.0,5.9,2067.9500000000003
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,691.6,372.5,4.0,0,53.9,2,4,0,30.0,319.1,5.9,2197.75
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,559.8,322.0,2.0,0,57.5,2,4,0,24.0,237.79999999999995,5.9,1899.8000000000002
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,621.2,329.5,2.0,0,53.0,2,4,0,24.0,291.70000000000005,5.9,1944.0500000000002
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,669.9,356.5,2.0,0,53.2,2,4,0,24.0,313.4,5.9,2103.35
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,656.8,358.0,4.0,0,54.5,2,4,0,30.0,298.79999999999995,5.9,2112.2000000000003
