model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
Dummy Regressor,cow,price,MSE,2,Train,17095.832454346237,46,1302,{}
Dummy Regressor,cow,price,MSE,3,Train,14076.035073046018,46,1302,{}
Dummy Regressor,cow,price,MSE,4,Train,18713.98439737035,46,1302,{}
Dummy Regressor,cow,price,MSE,5,Train,19407.038864134407,46,1302,{}
Dummy Regressor,cow,price,MSE,1,Test,24833.54444444445,46,1302,{}
Dummy Regressor,cow,price,MSE,2,Test,17925.582680788906,46,1302,{}
Dummy Regressor,cow,price,MSE,3,Test,29965.31560262966,46,1302,{}
Dummy Regressor,cow,price,MSE,4,Test,12296.015602629639,46,1302,{}
Dummy Regressor,cow,price,MSE,5,Test,7987.121541271001,46,1302,{}
Dummy Regressor,steer,price,MAE,1,Train,101.52527637799247,584,4260,{}
Dummy Regressor,steer,price,MAE,2,Train,100.39151447344892,584,4260,{}
Dummy Regressor,steer,price,MAE,3,Train,96.59327522250092,584,4260,{}
Dummy Regressor,steer,price,MAE,4,Train,97.5318966110166,584,4260,{}
Dummy Regressor,steer,price,MAE,5,Train,99.93547556432172,584,4260,{}
Dummy Regressor,steer,price,MAE,1,Test,90.60610644411499,584,4260,{}
Dummy Regressor,steer,price,MAE,2,Test,94.02948351909811,584,4260,{}
Dummy Regressor,steer,price,MAE,3,Test,109.83815498087448,584,4260,{}
Dummy Regressor,steer,price,MAE,4,Test,107.05458463734693,584,4260,{}
Dummy Regressor,steer,price,MAE,5,Test,95.90956012378427,584,4260,{}
Dummy Regressor,steer,price,MSE,1,Train,16192.94138260069,584,4260,{}
Dummy Regressor,steer,price,MSE,2,Train,16390.208300120597,584,4260,{}
Dummy Regressor,steer,price,MSE,3,Train,14571.63377815938,584,4260,{}
Dummy Regressor,steer,price,MSE,4,Train,15235.698520741535,584,4260,{}
Dummy Regressor,steer,price,MSE,5,Train,16097.588039940832,584,4260,{}
