model_name,animal_type,target,max_lag,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error
Dummy Regressor,steer,price,3,MAE,5,Test,113.76297815753738
Dummy Regressor,steer,price,3,MSE,1,Train,18695.318593378655
Dummy Regressor,steer,price,3,MSE,2,Train,16508.30039524036
Dummy Regressor,steer,price,3,MSE,3,Train,18513.711463597083
Dummy Regressor,steer,price,3,MSE,4,Train,16754.24086089577
Dummy Regressor,steer,price,3,MSE,5,Train,17444.1971369787
Dummy Regressor,steer,price,3,MSE,1,Test,13205.358156564771
Dummy Regressor,steer,price,3,MSE,2,Test,21946.678508958394
Dummy Regressor,steer,price,3,MSE,3,Test,13919.543549700797
Dummy Regressor,steer,price,3,MSE,4,Test,20998.209198237335
Dummy Regressor,steer,price,3,MSE,5,Test,18186.859653424213
Dummy Regressor,heifer,price,3,MAE,1,Train,80.33796365182272
Dummy Regressor,heifer,price,3,MAE,2,Train,73.4219577000744
Dummy Regressor,heifer,price,3,MAE,3,Train,71.68250728862972
Dummy Regressor,heifer,price,3,MAE,4,Train,81.16618075801748
Dummy Regressor,heifer,price,3,MAE,5,Train,72.21785714285714
Dummy Regressor,heifer,price,3,MAE,1,Test,58.263814432989705
Dummy Regressor,heifer,price,3,MAE,2,Test,85.1879793814433
Dummy Regressor,heifer,price,3,MAE,3,Test,92.57440476190477
Dummy Regressor,heifer,price,3,MAE,4,Test,57.7729166666665
Dummy Regressor,heifer,price,3,MAE,5,Test,90.22351190476189
Dummy Regressor,heifer,price,3,MSE,1,Train,11322.960828993517
Dummy Regressor,heifer,price,3,MSE,2,Train,9384.523745350198
Dummy Regressor,heifer,price,3,MSE,3,Train,9400.7562372449
Dummy Regressor,heifer,price,3,MSE,4,Train,11071.712653061226
Dummy Regressor,heifer,price,3,MSE,5,Train,8730.565420918367
Dummy Regressor,heifer,price,3,MSE,1,Test,4889.926446264218
Dummy Regressor,heifer,price,3,MSE,2,Test,12412.143274237429
Dummy Regressor,heifer,price,3,MSE,3,Test,12471.426679421771
Dummy Regressor,heifer,price,3,MSE,4,Test,5942.694951105423
Dummy Regressor,heifer,price,3,MSE,5,Test,15521.313329081633
Dummy Regressor,cow,Total number of defects,3,MAE,1,Train,0.7901234567901234
Dummy Regressor,cow,Total number of defects,3,MAE,2,Train,0.8195763330898467
Dummy Regressor,cow,Total number of defects,3,MAE,3,Train,0.7888970051132214
Dummy Regressor,cow,Total number of defects,3,MAE,4,Train,0.8108108108108109
Dummy Regressor,cow,Total number of defects,3,MAE,5,Train,0.8444119795471147
Dummy Regressor,cow,Total number of defects,3,MAE,1,Test,0.9222222222222222
Dummy Regressor,cow,Total number of defects,3,MAE,2,Test,0.8138138138138138
Dummy Regressor,cow,Total number of defects,3,MAE,3,Test,0.8858858858858859
Dummy Regressor,cow,Total number of defects,3,MAE,4,Test,0.7777777777777778
Dummy Regressor,cow,Total number of defects,3,MAE,5,Test,0.6936936936936937
Dummy Regressor,cow,Total number of defects,3,MSE,1,Train,1.0432098765432098
Dummy Regressor,cow,Total number of defects,3,MSE,2,Train,0.9612856099342585
Dummy Regressor,cow,Total number of defects,3,MSE,3,Train,1.0533235938641345
Dummy Regressor,cow,Total number of defects,3,MSE,4,Train,1.135135135135135
Dummy Regressor,cow,Total number of defects,3,MSE,5,Train,1.101533966398832
Dummy Regressor,cow,Total number of defects,3,MSE,1,Test,1.134567901234568
Dummy Regressor,cow,Total number of defects,3,MSE,2,Test,1.4801558315071826
Dummy Regressor,cow,Total number of defects,3,MSE,3,Test,1.099829559289019
Dummy Regressor,cow,Total number of defects,3,MSE,4,Test,0.7777777777777778
Dummy Regressor,cow,Total number of defects,3,MSE,5,Test,0.8954630305981657
Dummy Regressor,steer,Total number of defects,3,MAE,1,Train,0.4890221819827977
Dummy Regressor,steer,Total number of defects,3,MAE,2,Train,0.5624717066545949
Dummy Regressor,steer,Total number of defects,3,MAE,3,Train,0.5483250339520146
Dummy Regressor,steer,Total number of defects,3,MAE,4,Train,0.5080070167496604
Dummy Regressor,steer,Total number of defects,3,MAE,5,Train,0.5024898143956541
Dummy Regressor,steer,Total number of defects,3,MAE,1,Test,0.5731100045269353
Dummy Regressor,steer,Total number of defects,3,MAE,2,Test,0.46468990493435935
Dummy Regressor,steer,Total number of defects,3,MAE,3,Test,0.4784970574920781
Dummy Regressor,steer,Total number of defects,3,MAE,4,Test,0.5684698958804888
Dummy Regressor,steer,Total number of defects,3,MAE,5,Test,0.5477591670439114
Dummy Regressor,steer,Total number of defects,3,MSE,1,Train,0.5484382073336352
Dummy Regressor,steer,Total number of defects,3,MSE,2,Train,0.660564735174287
Dummy Regressor,steer,Total number of defects,3,MSE,3,Train,0.6564056133997284
Dummy Regressor,steer,Total number of defects,3,MSE,4,Train,0.5206824354911724
Dummy Regressor,steer,Total number of defects,3,MSE,5,Train,0.6055907650520597
Dummy Regressor,steer,Total number of defects,3,MSE,1,Test,0.8063603440470801
Dummy Regressor,steer,Total number of defects,3,MSE,2,Test,0.3596933001358082
Dummy Regressor,steer,Total number of defects,3,MSE,3,Test,0.3716613852421907
Dummy Regressor,steer,Total number of defects,3,MSE,4,Test,0.9124320959710275
Dummy Regressor,steer,Total number of defects,3,MSE,5,Test,0.5749207786328655
Dummy Regressor,heifer,Total number of defects,3,MAE,1,Train,0.7248379211393345
Dummy Regressor,heifer,Total number of defects,3,MAE,2,Train,0.6521415665851844
Dummy Regressor,heifer,Total number of defects,3,MAE,3,Train,0.6822157434402332
Dummy Regressor,heifer,Total number of defects,3,MAE,4,Train,0.5903790087463558
Dummy Regressor,heifer,Total number of defects,3,MAE,5,Train,0.7113702623906706
Dummy Regressor,heifer,Total number of defects,3,MAE,1,Test,0.51340206185567
Dummy Regressor,heifer,Total number of defects,3,MAE,2,Test,0.7558762886597938
Dummy Regressor,heifer,Total number of defects,3,MAE,3,Test,0.6301020408163266
Dummy Regressor,heifer,Total number of defects,3,MAE,4,Test,0.9098639455782314
Dummy Regressor,heifer,Total number of defects,3,MAE,5,Test,0.5654761904761904
Dummy Regressor,heifer,Total number of defects,3,MSE,1,Train,0.8640663194813477
Dummy Regressor,heifer,Total number of defects,3,MSE,2,Train,0.6816877457753217
Dummy Regressor,heifer,Total number of defects,3,MSE,3,Train,0.8000832986255726
Dummy Regressor,heifer,Total number of defects,3,MSE,4,Train,0.513640149937526
Dummy Regressor,heifer,Total number of defects,3,MSE,5,Train,0.8367346938775511
Dummy Regressor,heifer,Total number of defects,3,MSE,1,Test,0.26789244340525026
Dummy Regressor,heifer,Total number of defects,3,MSE,2,Test,0.9698586459772559
Dummy Regressor,heifer,Total number of defects,3,MSE,3,Test,0.49838608912952936
Dummy Regressor,heifer,Total number of defects,3,MSE,4,Test,1.6955435235318614
Dummy Regressor,heifer,Total number of defects,3,MSE,5,Test,0.3562925170068027
Dummy Regressor,cow,live weight,7,MAE,1,Train,48.07777777777777
Dummy Regressor,cow,live weight,7,MAE,2,Train,41.25186267348429
