model_name,feature_set,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_features,n_missing_feature_values,best_params
ElasticNet,Non-weather only,heifer,carcass weight,MAE,4,Train,13.135120856589698,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,5,Train,12.142730067097565,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,1,Test,13.019598498648367,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,2,Test,13.688419062857426,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,3,Test,12.325605145354661,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,4,Test,10.347783797683988,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MAE,5,Test,14.465732791890439,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,1,Train,277.79927737843997,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,2,Train,277.2474110688495,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,3,Train,283.2767269241657,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,4,Train,296.93869778237786,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,5,Train,237.28597911859612,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,1,Test,288.7309890601086,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,2,Test,268.6284892920986,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
ElasticNet,Non-weather only,heifer,carcass weight,MSE,3,Test,239.8545870263294,233,4,214,"{'imputer_strategy': 'mean', 'alpha': 0.004981476114330701, 'l1_ratio': 0.2330474479627378}"
