model_name,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,best_params
Logistic Regression,cow,has defects,ROC AUC,4,Train,0.7038690476190477,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,5,Train,0.6800595238095237,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,1,Test,0.75,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,2,Test,0.6,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,3,Test,0.7,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,4,Test,0.7,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,cow,has defects,ROC AUC,5,Test,0.775,46,26,"{'imputer_strategy': 'mean', 'C': 0.13894498012254627, 'l1_ratio': 0.5816737008859542}"
Logistic Regression,steer,has defects,Accuracy,1,Train,0.7936842105263158,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,2,Train,0.7642105263157895,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,3,Train,0.7894736842105263,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,4,Train,0.7873684210526316,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,5,Train,0.7773109243697479,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,1,Test,0.7478991596638656,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,2,Test,0.7983193277310925,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,3,Test,0.7647058823529411,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,4,Test,0.773109243697479,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Accuracy,5,Test,0.7796610169491526,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,1,Train,0.7886592741935483,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,2,Train,0.756804435483871,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,3,Train,0.7805443548387097,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,4,Train,0.7773185483870968,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,5,Train,0.7719551282051282,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,1,Test,0.7205128205128206,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,2,Test,0.8040064102564102,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,3,Test,0.752724358974359,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,4,Test,0.7655448717948719,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,Balanced Accuracy,5,Test,0.7822368421052632,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,1,Train,0.7100591715976331,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,F1,2,Train,0.6705882352941176,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
